Time,Time Code,Country Name,Country Code,Ease of doing business rank (1=most business-friendly regulations),Tax revenue (% of GDP),GDP per capita (current US$)
2019,YR2019,Albania,ALB,82,18.14624801,5395.659532
2019,YR2019,Andorra,AND,..,..,40897.33087
2019,YR2019,Armenia,ARM,47,22.28517099,4604.646324
2019,YR2019,Austria,AUT,27,25.58297784,50114.40111
2019,YR2019,Azerbaijan,AZE,28,14.21885265,4805.753718
2019,YR2019,Belarus,BLR,49,13.30150614,6837.717826
2019,YR2019,Belgium,BEL,46,22.61269067,46591.49161
2019,YR2019,Bosnia and Herzegovina,BIH,90,20.10135331,6119.762345
2019,YR2019,Bulgaria,BGR,61,20.22927868,9879.268533
2019,YR2019,Channel Islands,CHI,..,..,..
2019,YR2019,Croatia,HRV,51,21.71184613,15311.7669
2019,YR2019,Cyprus,CYP,54,23.44595321,28288.46158
2019,YR2019,Czech Republic,CZE,41,14.69167311,23660.14881
2019,YR2019,Denmark,DNK,4,34.28475613,59775.7351
2019,YR2019,Estonia,EST,18,21.31778515,23397.12001
2019,YR2019,Faroe Islands,FRO,..,..,64225.2649
2019,YR2019,Finland,FIN,20,20.6495708,48678.31413
2019,YR2019,France,FRA,33,24.55248632,40578.64429
2019,YR2019,Georgia,GEO,7,23.11733297,4697.983652
2019,YR2019,Germany,DEU,22,11.40498366,46794.89929
2019,YR2019,Gibraltar,GIB,..,..,..
2019,YR2019,Greece,GRC,79,26.1936671,19133.75776
2019,YR2019,Greenland,GRL,..,..,53041.30331
2019,YR2019,Hungary,HUN,52,22.47674709,16735.65978
2019,YR2019,Iceland,ISL,26,21.77637832,68941.46223
2019,YR2019,Ireland,IRL,24,17.72946556,80886.61574
2019,YR2019,Isle of Man,IMN,..,..,86481.55259
2019,YR2019,Italy,ITA,58,24.59169968,33641.63375
2019,YR2019,Kazakhstan,KAZ,25,11.78694274,9812.595808
2019,YR2019,Kosovo,XKX,57,..,4416.108358
2019,YR2019,Kyrgyz Republic,KGZ,80,16.86406795,1374.032105
2019,YR2019,Latvia,LVA,19,21.2707604,17926.84159
2019,YR2019,Liechtenstein,LIE,..,..,175813.8756
2019,YR2019,Lithuania,LTU,11,19.83117638,19575.76848
2019,YR2019,Luxembourg,LUX,72,26.58150497,113218.7133
2019,YR2019,Moldova,MDA,48,17.31036034,4491.688827
2019,YR2019,Monaco,MCO,..,..,190512.7374
2019,YR2019,Montenegro,MNE,50,..,8910.650834
2019,YR2019,Netherlands,NLD,42,24.02125317,52476.27325
2019,YR2019,North Macedonia,MKD,17,17.08328108,6070.388054
2019,YR2019,Norway,NOR,9,23.13240229,75826.08188
2019,YR2019,Poland,POL,40,17.30089713,15732.20313
2019,YR2019,Portugal,PRT,39,22.20329347,23330.81729
2019,YR2019,Romania,ROU,55,14.60341017,12899.34611
2019,YR2019,Russian Federation,RUS,29,10.97512393,11497.64925
2019,YR2019,San Marino,SMR,92,16.91273433,47731.20854
2019,YR2019,Serbia,SRB,44,24.04973493,7417.203649
2019,YR2019,Slovak Republic,SVK,45,18.69515761,19303.54566
2019,YR2019,Slovenia,SVN,37,18.27712444,25942.95477
2019,YR2019,Spain,ESP,31,13.76409844,29555.3157
2019,YR2019,Sweden,SWE,10,27.30093102,51939.42974
2019,YR2019,Switzerland,CHE,36,9.775174718,85334.51946
2019,YR2019,Tajikistan,TJK,106,..,890.5444024
2019,YR2019,Turkey,TUR,34,16.52640111,9121.515167
2019,YR2019,Turkmenistan,TKM,..,..,7612.03518
2019,YR2019,Ukraine,UKR,64,19.1961401,3662.563087
2019,YR2019,United Kingdom,GBR,8,24.90676336,43070.49836
2019,YR2019,Uzbekistan,UZB,69,12.6953747,1784.009816
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/16/2021,,,,,,
